ID_str,Provincia (from import_estudiantes strapi) (from ESTUDIANTE),CCAA - PROVINCIAS (from Universidad Vinculada) (from ESTUDIANTE),Universidad Vinculada (from ESTUDIANTE) 2,Universidad (from import_estudiantes strapi) (from ESTUDIANTE),title_str,summary_str,tags_str,language_str,sector_str,Impacto_premios_str,Sostenibilidad_premios_str,Innovación_premios_str,Viabilidad_premios_str,Categorías_premios_str,hiding_reason_str,Score_tfx,Titulación (from import_estudiantes strapi) (from ESTUDIANTE)
910,,MADRID,ESIC,ESIC Universidad,"""De azúcar y cafeína a salud y energía: Desarrollo de un Plan de Comunicación para Red Bull en la Era del Consumo Consciente""","El trabajo analiza la necesidad de Red Bull de cambiar su imagen por la percepción negativa del exceso de azúcar en sus productos. A través de encuestas y entrevistas se estudia la opinión de consumidores y las tendencias hacia opciones más saludables. Se propone un rebranding, acciones de comunicación y una iniciativa solidaria. Se concluye que estos cambios pueden mejorar la imagen de marca y aumentar la fidelidad del consumidor.
","Comunicación,Deporte,Estrategia,Marketing,Salud,Consumo",Castellano,Retail,"El proyecto contribuye a transformar la percepción social de Red Bull, alineando su imagen con los valores del consumo consciente. A través de una acción solidaria y campañas estratégicas, busca influir en hábitos de consumo más responsables y saludables, potenciando el cambio en la industria de las bebidas energéticas.","El TFG apuesta por la sostenibilidad social y reputacional mediante una acción solidaria vinculada a la salud (colaboración con TeamOne). El plan comunica de forma ética y transparente, fomentando un consumo más informado y responsable, desde la estrategia hasta la implementación del plan de comunicación.","El proyecto se distingue por su enfoque de rebranding emocional: convierte una debilidad (azúcar) en una fortaleza mediante una campaña solidaria. Esta originalidad estratégica se refuerza con investigación mixta, marketing multicanal y un tono motivador centrado en salud, comunidad e impacto social.","La estrategia se basa en datos reales, análisis DAFO y segmentación precisa del público. Es viable técnica y económicamente, con acciones adaptadas al mercado español, medios seleccionados por afinidad y un presupuesto detallado. La propuesta es fácilmente ejecutable y escalable.","Sostenibilidad,Salud",Otro motivo,35,Publicidad y Relaciones Públicas
911,,MADRID,ESIC,ESIC Universidad,De azúcar y cafeína a salud y energía: Desarrollo de un Plan de Comunicación para Red Bull en la Era del Consumo Consciente,"El trabajo analiza la necesidad de Red Bull de cambiar su imagen por la percepción negativa del exceso de azúcar en sus productos. A través de encuestas y entrevistas se estudia la opinión de consumidores y las tendencias hacia opciones más saludables. Se propone un rebranding, acciones de comunicación y una iniciativa solidaria. Se concluye que estos cambios pueden mejorar la imagen de marca y aumentar la fidelidad del consumidor.","Comunicación,Deporte,Estrategia,Marketing,Salud,Consumo",Castellano,Retail,"El proyecto contribuye a transformar la percepción social de Red Bull, alineando su imagen con los valores del consumo consciente. A través de una acción solidaria y campañas estratégicas, busca influir en hábitos de consumo más responsables y saludables, potenciando el cambio en la industria de las bebidas energéticas.
","El TFG apuesta por la sostenibilidad social y reputacional mediante una acción solidaria vinculada a la salud (colaboración con TeamOne). El plan comunica de forma ética y transparente, fomentando un consumo más informado y responsable, desde la estrategia hasta la implementación del plan de comunicación.

","El proyecto se distingue por su enfoque de rebranding emocional: convierte una debilidad (azúcar) en una fortaleza mediante una campaña solidaria. Esta originalidad estratégica se refuerza con investigación mixta, marketing multicanal y un tono motivador centrado en salud, comunidad e impacto social.

","La estrategia se basa en datos reales, análisis DAFO y segmentación precisa del público. Es viable técnica y económicamente, con acciones adaptadas al mercado español, medios seleccionados por afinidad y un presupuesto detallado. La propuesta es fácilmente ejecutable y escalable.","Salud,Sostenibilidad",Otro motivo,35,Publicidad y Relaciones Públicas
430,Gipuzkoa,"PAÍS VASCO,BIZKAIA",Universidad del País Vasco,Universidad del País Vasco / Euskal Herriko Unibertsitatea,ARTE ESZENIKOEN FOROA. Bengoechea zinemaren birgaitzea,"El proyecto rehabilita y amplía el antiguo Cine Bengoetxea de Alsasua para convertirlo en un auditorio. Se restaurará el edificio original, respetando su valor histórico, y se añadirá un volumen anexo con salas de ensayo y grabación. La ampliación será de menor altura y se mejorarán las fachadas laterales para darles uso. Esta intervención busca revitalizar un espacio clave para la cultura local, ofreciendo un nuevo centro artístico y social para la comunidad.","Arte,Audiovisuales,Comunicación,Comunidad,Construcción,Educación,Energías renovables,Jóvenes,Música,Reutilización,Sostenibilidad,Turismo,Urbanismo",Euskera,Arquitectura,"El proyecto promueve la innovación sostenible reutilizando una estructura existente, reduciendo el impacto ambiental y optimizando recursos. La rehabilitación mejora la eficiencia energética y la ampliación usa materiales sostenibles. Socialmente, revitaliza un espacio en desuso, impulsando la cultura y la cohesión comunitaria. Así, combina conservación patrimonial, eficiencia y nuevas funciones para un desarrollo urbano sostenible.","El proyecto apuesta por la sostenibilidad en todas sus fases. Rehabilita un edificio existente, reduciendo el uso de nuevos materiales y la huella de carbono. Mejora la eficiencia energética con aislamientos y sistemas pasivos. La ampliación emplea materiales sostenibles y técnicas constructivas eficientes. Además, fomenta un uso cultural duradero, promoviendo la regeneración urbana y el impacto social positivo a largo plazo.","El proyecto innova al combinar rehabilitación patrimonial con ampliación sostenible, adaptando un antiguo cine a nuevos usos escénicos. La intervención respeta la historia del edificio mientras introduce soluciones eficientes en energía y materiales sostenibles. La ampliación, ligera y fragmentada, permite flexibilidad en su uso. Además, revaloriza un espacio cultural clave, impulsando un modelo de regeneración urbana que equilibra memoria, funcionalidad y sostenibilidad.","El proyecto es viable empresarialmente al generar un espacio cultural que atrae a empresas del sector artístico y turístico, fomentando la economía local. Socialmente, revitaliza un edificio histórico y promueve la cohesión comunitaria, ofreciendo un espacio para actividades culturales y recreativas. Las soluciones sostenibles garantizan su rentabilidad a largo plazo, tanto económica como socialmente.","Arte y cultura,Sostenibilidad,Innovación social",,31,Grado en fundamentos de la arquitectura
564,Barcelona,CATALUÑA,Universidad Internacional de Cataluña,Universitat Internacional de Catalunya - UIC,"Harmonic Constructs: Exploring the Convergence of Ecological Systems, Human Experience, and Architecture","My thesis explores how natural design principles, human-centered approaches, and emerging technologies can create sustainable, resilient architecture. By integrating bio-learning design, innovative materials, and digital fabrication, it envisions spaces that support both people and the planet. Through interdisciplinary collaboration and continuous innovation, it aims to address 21st-century challenges and contribute to a more sustainable and equitable built environment.","Sostenibilidad,Agua,Construcción,Consumo,Finanzas,Marketing,Optimización de procesos",Inglés,Arquitectura,"My project promotes sustainable innovation by integrating bio-learning design, advanced materials, and digital fabrication. It encourages architects to adopt nature-inspired, human-centered approaches, leading to more resilient, energy-efficient structures. By influencing industry practices and interdisciplinary collaboration, it contributes to long-term ecological and social sustainability, addressing key challenges in the built environment.","Sustainability is embedded in every stage of my project, from concept to execution. It prioritizes bio-learning, circular materials, and energy-efficient processes to minimize environmental impact. Through digital fabrication, waste reduction, and smart material integration, it fosters long-term resilience. The project also advocates for sustainable policy adoption, ensuring ongoing relevance in architectural and urban development.","This project pioneers a new architectural paradigm by integrating bio-learning design, smart materials, and adaptive systems. Unlike traditional structures, it employs computational design, ecological intelligence, and responsive materials to create dynamic environments. By leveraging AI-driven parametric modeling and emerging bio-materials, it challenges conventional sustainability, demonstrating how nature-inspired, technology-driven solutions can redefine the built environment for the future.","The tower design integrate bio-learning design, smart materials, and adaptive architecture for sustainability and human well-being. Smart materials like shape-memory polymers, self-healing structures, and energy-harvesting floors enhance efficiency, reducing maintenance costs. It aligns with urban sustainability goals, offering climate resilience, green funding potential, and improved livability. By fostering innovation and social inclusivity, it sets a new benchmark for future cities.","Sostenibilidad,Nuevas tecnologías",,39,Biodigital Architecture
674,,"NAVARRA ,GIPUZKOA",Universidad de Navarra,Universidad de Navarra - UNAV,Diseño y Evaluación de vivienda sostenible con materiales y estrategias de la arquitectura vernácula en el departamento de Puno - Perú.,"En la actualidad hay diferentes zonas del mundo en donde existe población que aún no posee edificaciones que les brinden confort y protección adecuada. En Puno-Perú los antepasados que vivieron en esa zona altoandina supieron adaptarse y convivir con temperaturas bajas utilizando los materiales que tenían insitu. Este proyecto logró demostrar que se puede desarrollar una vivienda con confort térmico solo con medidas pasivas, alta escalabilidad y la importancia de la conexión con el entorno.
","Colectivos vulnerables,Comunidad,Construcción,Desarrollo personal,Diseño y simulación,Economía circular,Energías renovables,Estrategia,Identificación,Igualdad,Medición de impacto,Movilidad sostenible,Nuevas tecnologías,Personas sin hogar,Reciclaje,Recursos humanos,Reutilización,Rural,Salud,Salud mental,Sostenibilidad,Tercera edad,Turismo,Urbanismo,Validación y testeo",Castellano,Arquitectura,"El proyecto desarrolla una solución para viviendas sostenibles que combinan las técnicas ancestrales de los antepasados ubicados en la zona en conjunto con las nuevas tecnologías actuales. Se promueve y reaviva las tradiciones culturales, exploran materiales, propuestas de regeneración de ecosistemas y como consecuencia de la mejora de viviendas en confort una mejora en la salud y bienestar de las personas.","El proyecto mezcla elementos culturales, sociales, ambientales, económicos y tecnológicos desde su concepción, utilizando materiales y técnicas ancestrales. Durante su implementación se respetará el medio ambiente ya que se utilizarán materiales locales y técnicas no invasivas. La circularidad de materiales y adaptación al ecosistema ayudan a esto. Queda demostrado numéricamente que la vivienda brinda mayor confort y bienestar que las viviendas actuales.","Lo innovador de este proyecto es la unión de los materiales antiguos, técnicas ancestrales y las nuevas tecnologías. La idea es crear un manual de desarrollo de viviendas que pueda servir de referente para Latinoamérica o tal vez el mundo.","La inversión para este tipo de proyectos es mínima ya que se utilizan muchos materiales y mano de obra locales. Por otra parte su aplicación de carácter social es necesaria y aplicable a los proyectos de desarrollo para poblaciones vulnerables, viviendas sociales e incluso proyectos mineros. 
Aplicabilidad muy alta debido a la sencillez y efectividad de inicio a fin.","Sostenibilidad,Arte y cultura",,38,Máster en Diseño y Gestión Ambiental de Edificios
975,,MADRID,Universidad Politécnica de Madrid,Universidad Politécnica de Madrid - UPM,Propuesta de valor e identidad gráfica de una ventana fotovoltaica translúcida para edificios de energía neta cero,"Este proyecto considera una nueva tecnología para el desarrollo de edificios más sostenibles. Se trata de paneles fotovoltaicos que concentran la luz directa del sol en células fotovoltaicas, permitiendo el paso de la luz difusa para iluminar la estancia. Sin embargo, dada la complejidad de la tecnología, el valor de esta es difícil de comunicar, impidiendo su popularización. Este TFG desarrolla la propuesta de valor y la identidad gráfica para acercar el sistema a diferentes áreas del mercado.","Comunicación,Diseño y simulación,Construcción,Energías renovables,Instalaciones,Nuevas tecnologías,Sostenibilidad",Castellano,Arquitectura,"Este proyecto constituye una parte del impulso necesario para transformar las edificaciones en edificios de energía neta cero. Este objetivo ambicioso requiere de soluciones y tecnologías innovadoras como la presentada en este TFG. Así pues, para conseguir presentar esta tecnología a las múltiples disciplinas capaces de tomar decisiones del sector, es fundamental el diseño de una puesta de valor que ilustre el funcionamiento y los beneficios del sistema de manera clara, atractiva y comprensible.","La adopción de este producto arquitectónico modular representa un paso hacia la promoción de la sostenibilidad y la transición a ciudades descarbonizadas. Al configurarlo según las necesidades de cada uso, se maximiza el aprovechamiento de los recursos disponibles. Su diseño ligero y resistente garantiza una instalación segura y duradera. Además, en el diseño de la propuesta de valor, se ha mantenido un enfoque de ciclo de vida, priorizando materiales con un mínimo impacto y la desmontabilidad.","El proyecto integra arquitectónicamente un sistema inteligente que, mediante la fotovoltaica de micro-concentración, es capaz de iluminar estancias homogéneamente sin luz artifcial mientras genera electricidad para autoconsumo. La tecnología resuelve muchos problemas que presentan los módulos integrados convencionales: la falta de gestión activa de la luz transmitida; la alta probabilidad de deslumbramiento de los usuarios; la necesidad de dispositivos de protección solar como persianas etc. ",Esta tecnología está aún en fases iniciales de prototipado a escala de laboratorio y se está trabajando para desarrollar un demostrador en exterior con el fin último de encontrar socios industriales interesados en convertir la tecnología en un producto comercial con un alto impacto en la descabornización de las ciudades. La propuesta de valor y la identidad gráfica de este TFG es de gran valor para poder comunicar a estos socios cómo podría ser producto final integrado dentro de un entorno real.,"Nuevas tecnologías,Sostenibilidad",Otro motivo,40,Doble Grado en Ingeniería Mecánica e Ingeniería de Diseño Industrial y Desarrollo del Producto
1010,Madrid,MADRID,Universidad Politécnica de Madrid,Universidad Politécnica de Madrid - UPM,Diseño paramétrico y modelado arquitectónico de un módulo fotovoltaico con gestión activa de la iluminación natural para integración en edificio ,"Este trabajo desarrolla una metodología para diseñar y simular un módulo fotovoltaico con micro-ópticas que genera energía y mejora la iluminación natural. Se compara con tecnologías convencionales, desarrollando una metodología de diseño paramétrico demostrando su potencial para aumentar la eficiencia energética y el confort, contribuyendo a edificios más sostenibles y bajos en emisiones.
","Diseño y simulación,Energías renovables,Nuevas tecnologías,Sostenibilidad",Castellano,Arquitectura,"El proyecto impulsa la innovación sostenible al integrar módulos fotovoltaicos avanzados en la arquitectura, permitiendo edificios más eficientes y autosuficientes. Su aplicación reduce significativamente las emisiones y el consumo energético, promoviendo la adopción de soluciones renovables y sentando las bases para un entorno construido más responsable y resiliente, y optimizando su aplicación en edificaciones sostenibles del futuro","Refleja un compromiso real con la sostenibilidad al integrar desde el diseño hasta la simulación módulos fotovoltaicos avanzados que optimizan energía e iluminación natural. Desarrolla metodologías específicas para maximizar eficiencia y minimizar impacto ambiental, promoviendo edificios más autosuficientes y confortables, y facilitando la adopción de soluciones innovadoras y responsables en la construcción.","El proyecto es innovador porque desarrolla metodologías específicas para diseñar y simular módulos fotovoltaicos con micro-ópticas, que gestionan la luz solar para generar energía y mejorar la iluminación natural. Esta aproximación supera las limitaciones de los sistemas convencionales, facilitando su integración arquitectónica y optimizando su rendimiento energético y lumínico, lo que impulsa la sostenibilidad en la edificación.","El proyecto es pertinente y aplicable, ya que responde a la demanda empresarial y social de edificios más eficientes y sostenibles, alineados con los objetivos de descarbonización y neutralidad climática. Al desarrollar metodologías de diseño para módulos fotovoltaicos avanzados, facilita su integración arquitectónica y funcional, permitiendo a empresas y profesionales adoptar soluciones innovadoras, multifuncionales y adaptadas a las necesidades del entorno construido",Sostenibilidad,,0,Doble Grado de Ingeniería de Diseño Industrial y Desarrollo del Producto e Ingeniería Mecánica 
1016,,CATALUÑA,Universidad Internacional de Cataluña,Universitat Internacional de Catalunya - UIC,Integration of nature-inspired design with advanced technologies and sustainability in  modern architecture: an exploration inspired by Gaudí.,"This project merges nature, AI, and digital fabrication to create regenerative and biodegradable architecture. Through biomimicry, smart materials, 3D printing, and robotics, it develops living structures—such as bioceramics, mycelium bricks, and organic batteries. A standout feature is a tower inspired by roots and branches, designed with sustainable principles and aligned with the 17 SDGs, redefining the future of environmental and urban design.","Agronomía,Agua,Alimentación,Comunidad,Construcción,Cooperación Internacional,Diseño y simulación,Economía ,Economía circular,Educación,Energías renovables,Estrategia,Igualdad,Instalaciones,Inversión,IoT,Jóvenes,Movilidad sostenible,Nuevas tecnologías,Optimización de procesos,Reciclaje,Recursos humanos,Reutilización,Salud mental,Sostenibilidad,Turismo,Urbanismo",Inglés,Arquitectura,"This research proposes a new architectural paradigm by integrating nature, technology, and sustainability. It promotes regenerative design that not only minimizes harm but generates ecological, social, and cultural benefits. Through biomimicry, smart materials, and digital tools, it creates efficient, biodegradable structures aligned with the 17 SDGs, offering a model for environmentally responsive architecture.","The project adopts sustainability as a core principle, integrating nature, technology, and design from concept to execution. It reinterprets Gaudí’s ideas using digital tools and living materials like mycelium and bioreceptive ceramics. It proposes regenerative architecture that enhances the environment, promotes biodiversity and energy efficiency, and creates lasting positive impact aligned with the 17 Sustainable Development Goals.","The synthesis of these explorations illustrates a vision for architecture that is alive, adaptive, and regenerative. Nature not only inspires form but also provides time-tested functional strategies refined by evolution. When combined with technology guided by ecological awareness, architecture becomes a tool for environmental restoration and human well-being.","The project is viable as it addresses the growing demand for sustainable solutions in sectors such as construction, urban planning, and technology. Its innovative approach allows real-world applications in both urban and natural environments, improving quality of life, reducing environmental impact, and generating economic and social value. It is adaptable to different contexts and scales, facilitating practical implementation.","Sostenibilidad,Nuevas tecnologías",,40,Master's Degree of Lifelong Learning in Biodigital Architecture
1109,Madrid,MADRID,Universidad Politécnica de Madrid,Universidad Politécnica de Madrid - UPM,Fábrica de Vida,"Fábrica de Vida transforma el Vivero Municipal de Migas Calientes en una infraestructura verde sostenible y autosuficiente, combinando producción hidropónica, formación de jardineros, arquitectura modular bioclimática y estrategias pasivas. Optimiza recursos, reduce huella de carbono y contribuye al mantenimiento de ecosistemas urbanos, confort térmico y generación de comunidad.","Agronomía,Agua,Comercio de proximidad,Construcción,Comunidad,Deporte,Economía circular,Energías renovables,Instalaciones,Movilidad sostenible,Nuevas tecnologías,Reciclaje,Reutilización,Rural,Sostenibilidad,Urbanismo",Castellano,Arquitectura,"Fábrica de Vida tendrá un impacto ambiental, social y educativo significativo: reducirá la huella de carbono al producir localmente, optimizará el uso del agua y la energía con estrategias pasivas, mejorará el mantenimiento de las zonas verdes, formará jardineros profesionales, fomentará la resiliencia climática urbana y generará empleo y comunidad.","Fábrica de Vida aborda la sostenibilidad integrando la producción hidropónica para optimizar recursos hídricos, la arquitectura modular de madera con estrategias pasivas como ventilación cruzada, geotermia y evapotranspiración, la eficiencia energética y la recogida de agua de lluvia. Combina formación, producción y gestión urbana, creando una infraestructura autosuficiente que minimiza huella de carbono y maximiza eficiencia y resiliencia climática.","Lo innovador de Fábrica de Vida es su capacidad de integrar múltiples estrategias pasivas y sostenibles en un diseño cuidadosamente planificado, logrando una infraestructura autosuficiente que combina eficiencia energética, gestión del agua y confort térmico con producción, formación y espacio público.","Fábrica de Vida garantiza viabilidad mediante un diseño modular en madera que permite construcción industrializada y desmontable, uso eficiente de recursos hídricos y energéticos, integración con infraestructura existente como compostaje y depuradoras, y formación de personal especializado. Su planificación técnica y operativa asegura sostenibilidad, autosuficiencia y funcionalidad real en la gestión urbana de zonas verdes.",Sostenibilidad,Otro motivo,,Máster habilitante de Arquitectura 
1140,Murcia,MURCIA,Universidad Politécnica de Cartagena,Universidad Politécnica de Cartagena - UPCT,Estudio para la mejora de la eficiencia energética de la Comandancia Militar de Marina en el Muelle de la Curra,"El trabajo analiza la eficiencia energética de la Comandancia Militar de Marina en el Muelle de la Curra (Cartagena), proponiendo mejoras para alcanzar la calificación “A”. Mediante auditorías con CE3X y actuaciones en cerramientos, carpinterías e instalaciones, se demuestra que la eficiencia real requiere un enfoque integral. El estudio combina respeto arquitectónico, sostenibilidad y aplicación práctica en la rehabilitación del patrimonio público","Construcción,Diseño y simulación,Energías renovables,Instalaciones,Validación y testeo,Urbanismo,Sostenibilidad,Reutilización,Reciclaje,Prototipado,Nuevas tecnologías,Medición de impacto,Inversión,Estrategia,Economía circular,Economía ,Consultoría",Castellano,Arquitectura,"El trabajo impulsa la innovación sostenible al demostrar cómo aplicar estrategias de eficiencia energética en edificios existentes sin alterar su valor arquitectónico. Su enfoque integral combina análisis técnico, respeto patrimonial y soluciones viables, sirviendo como modelo replicable para la rehabilitación sostenible de edificaciones públicas y contribuyendo a los objetivos europeos de descarbonización y eficiencia energética","El proyecto integra la sostenibilidad en todas sus fases: analiza el edificio desde una visión global, prioriza la reducción de la demanda energética y aplica soluciones respetuosas con el entorno y el diseño original. Promueve el uso eficiente de recursos, la durabilidad de materiales y el confort ambiental, evidenciando un compromiso real con la eficiencia, la conservación patrimonial y la responsabilidad medioambiental a largo plazo","El proyecto es innovador por combinar análisis energético avanzado con una intervención arquitectónica respetuosa y realista. Propone mejorar un edificio militar operativo sin alterar su forma ni función, aplicando tecnologías actuales de eficiencia y modelización digital. Su enfoque integrador une ingeniería, arquitectura y sostenibilidad, convirtiéndose en un referente replicable para la modernización energética del patrimonio construido","El proyecto es viable y aplicable, pues plantea mejoras energéticas realistas, técnicamente asumibles y económicamente sostenibles. Su metodología puede replicarse en edificios públicos o privados, reduciendo consumos y emisiones sin alterar su uso ni valor arquitectónico. Contribuye al ahorro energético, la modernización del parque edificatorio y la transición hacia una edificación más eficiente y responsable","Sostenibilidad,Nuevas tecnologías",Mi proyecto contiene información confidencial sobre una organización,,Grado en Ingeniería de Edificación
