ID_str,Provincia (from import_estudiantes strapi) (from ESTUDIANTE),CCAA - PROVINCIAS (from Universidad Vinculada) (from ESTUDIANTE),Universidad Vinculada (from ESTUDIANTE) 2,Universidad (from import_estudiantes strapi) (from ESTUDIANTE),title_str,summary_str,tags_str,language_str,sector_str,Impacto_premios_str,Sostenibilidad_premios_str,Innovación_premios_str,Viabilidad_premios_str,Categorías_premios_str,hiding_reason_str,Score_tfx,Titulación (from import_estudiantes strapi) (from ESTUDIANTE)
674,,"NAVARRA ,GIPUZKOA",Universidad de Navarra,Universidad de Navarra - UNAV,Diseño y Evaluación de vivienda sostenible con materiales y estrategias de la arquitectura vernácula en el departamento de Puno - Perú.,"En la actualidad hay diferentes zonas del mundo en donde existe población que aún no posee edificaciones que les brinden confort y protección adecuada. En Puno-Perú los antepasados que vivieron en esa zona altoandina supieron adaptarse y convivir con temperaturas bajas utilizando los materiales que tenían insitu. Este proyecto logró demostrar que se puede desarrollar una vivienda con confort térmico solo con medidas pasivas, alta escalabilidad y la importancia de la conexión con el entorno.
","Colectivos vulnerables,Comunidad,Construcción,Desarrollo personal,Diseño y simulación,Economía circular,Energías renovables,Estrategia,Identificación,Igualdad,Medición de impacto,Movilidad sostenible,Nuevas tecnologías,Personas sin hogar,Reciclaje,Recursos humanos,Reutilización,Rural,Salud,Salud mental,Sostenibilidad,Tercera edad,Turismo,Urbanismo,Validación y testeo",Castellano,Arquitectura,"El proyecto desarrolla una solución para viviendas sostenibles que combinan las técnicas ancestrales de los antepasados ubicados en la zona en conjunto con las nuevas tecnologías actuales. Se promueve y reaviva las tradiciones culturales, exploran materiales, propuestas de regeneración de ecosistemas y como consecuencia de la mejora de viviendas en confort una mejora en la salud y bienestar de las personas.","El proyecto mezcla elementos culturales, sociales, ambientales, económicos y tecnológicos desde su concepción, utilizando materiales y técnicas ancestrales. Durante su implementación se respetará el medio ambiente ya que se utilizarán materiales locales y técnicas no invasivas. La circularidad de materiales y adaptación al ecosistema ayudan a esto. Queda demostrado numéricamente que la vivienda brinda mayor confort y bienestar que las viviendas actuales.","Lo innovador de este proyecto es la unión de los materiales antiguos, técnicas ancestrales y las nuevas tecnologías. La idea es crear un manual de desarrollo de viviendas que pueda servir de referente para Latinoamérica o tal vez el mundo.","La inversión para este tipo de proyectos es mínima ya que se utilizan muchos materiales y mano de obra locales. Por otra parte su aplicación de carácter social es necesaria y aplicable a los proyectos de desarrollo para poblaciones vulnerables, viviendas sociales e incluso proyectos mineros. 
Aplicabilidad muy alta debido a la sencillez y efectividad de inicio a fin.","Sostenibilidad,Arte y cultura",,38,Máster en Diseño y Gestión Ambiental de Edificios
676,,"NAVARRA ,GIPUZKOA",Universidad de Navarra,Universidad de Navarra - UNAV,El Campus de la Universidad de Navarra Diseño y gestión sostenible de espacios,"Este trabajo pretende analizar la estrategia implementada en el campus de la Universidad de Navarra con los cambios en la enseñanza, necesidades y nuevas demandas.Se atenderán a la transformación de los espacios del campus. El diseño, la estética, la sostenibilidad y la implicación social son los pilares que sustentan la estrategia implementada junto con el paisaje como protagonista. Además se quiere destacar la experiencia del usuario y el diseño de servicios que se genera en todo el proceso.","Agua,Sostenibilidad,Comunidad,Construcción,Consultoría,Diseño y simulación,Emprendimiento,Instalaciones,Movilidad sostenible,Optimización de procesos",Castellano,Arquitectura,"A través de este análisis realizado se podrá comprobar cómo el desarrollo de la estrategia llevada a cabo ha supuesto un caso de éxito, ya que ha proporcionado unas transformaciones innovadoras y sostenibles, que han generado unos entornos adecuados para el aprendizaje de los alumnos y la interacción y bienestar de todos los usuarios de la Universidad de Navarra.","Las estrategias implementadas parten de un modelo programado, diseñado y enfocado desde las estrategias y puntos de enfoque sostenibles de la Agenda 2030. Los proyectos que se realizan partiendo de esta base, tienen a su vez unas características de sostenibilidad cubiertas bajo el amparo de la New European Bauhaus.","Se propone una estrategia enfocada en un modelo de experiencia del usuario para mejorar el día a día de los alumnos, trabajadores y todo el personal de la Universidad de Navarra en su campus de Pamplona partiendo de estrategias innovadoras y sostenibles, centradas en la arquitectura, el mobiliario o la creatividad en el uso de los espacios tanto interiores como exteriores. ","La característica de este proyecto es que ya se ha testado, esta puesta en práctica y el trabajo pretende dar a conocer el caso de éxito de este modelo para futuras necesidades dentro de la organización a la escala que se demande. ",Sostenibilidad,,39,Arquitectura
1016,,CATALUÑA,Universidad Internacional de Cataluña,Universitat Internacional de Catalunya - UIC,Integration of nature-inspired design with advanced technologies and sustainability in  modern architecture: an exploration inspired by Gaudí.,"This project merges nature, AI, and digital fabrication to create regenerative and biodegradable architecture. Through biomimicry, smart materials, 3D printing, and robotics, it develops living structures—such as bioceramics, mycelium bricks, and organic batteries. A standout feature is a tower inspired by roots and branches, designed with sustainable principles and aligned with the 17 SDGs, redefining the future of environmental and urban design.","Agronomía,Agua,Alimentación,Comunidad,Construcción,Cooperación Internacional,Diseño y simulación,Economía ,Economía circular,Educación,Energías renovables,Estrategia,Igualdad,Instalaciones,Inversión,IoT,Jóvenes,Movilidad sostenible,Nuevas tecnologías,Optimización de procesos,Reciclaje,Recursos humanos,Reutilización,Salud mental,Sostenibilidad,Turismo,Urbanismo",Inglés,Arquitectura,"This research proposes a new architectural paradigm by integrating nature, technology, and sustainability. It promotes regenerative design that not only minimizes harm but generates ecological, social, and cultural benefits. Through biomimicry, smart materials, and digital tools, it creates efficient, biodegradable structures aligned with the 17 SDGs, offering a model for environmentally responsive architecture.","The project adopts sustainability as a core principle, integrating nature, technology, and design from concept to execution. It reinterprets Gaudí’s ideas using digital tools and living materials like mycelium and bioreceptive ceramics. It proposes regenerative architecture that enhances the environment, promotes biodiversity and energy efficiency, and creates lasting positive impact aligned with the 17 Sustainable Development Goals.","The synthesis of these explorations illustrates a vision for architecture that is alive, adaptive, and regenerative. Nature not only inspires form but also provides time-tested functional strategies refined by evolution. When combined with technology guided by ecological awareness, architecture becomes a tool for environmental restoration and human well-being.","The project is viable as it addresses the growing demand for sustainable solutions in sectors such as construction, urban planning, and technology. Its innovative approach allows real-world applications in both urban and natural environments, improving quality of life, reducing environmental impact, and generating economic and social value. It is adaptable to different contexts and scales, facilitating practical implementation.","Sostenibilidad,Nuevas tecnologías",,40,Master's Degree of Lifelong Learning in Biodigital Architecture
1109,Madrid,MADRID,Universidad Politécnica de Madrid,Universidad Politécnica de Madrid - UPM,Fábrica de Vida,"Fábrica de Vida transforma el Vivero Municipal de Migas Calientes en una infraestructura verde sostenible y autosuficiente, combinando producción hidropónica, formación de jardineros, arquitectura modular bioclimática y estrategias pasivas. Optimiza recursos, reduce huella de carbono y contribuye al mantenimiento de ecosistemas urbanos, confort térmico y generación de comunidad.","Agronomía,Agua,Comercio de proximidad,Construcción,Comunidad,Deporte,Economía circular,Energías renovables,Instalaciones,Movilidad sostenible,Nuevas tecnologías,Reciclaje,Reutilización,Rural,Sostenibilidad,Urbanismo",Castellano,Arquitectura,"Fábrica de Vida tendrá un impacto ambiental, social y educativo significativo: reducirá la huella de carbono al producir localmente, optimizará el uso del agua y la energía con estrategias pasivas, mejorará el mantenimiento de las zonas verdes, formará jardineros profesionales, fomentará la resiliencia climática urbana y generará empleo y comunidad.","Fábrica de Vida aborda la sostenibilidad integrando la producción hidropónica para optimizar recursos hídricos, la arquitectura modular de madera con estrategias pasivas como ventilación cruzada, geotermia y evapotranspiración, la eficiencia energética y la recogida de agua de lluvia. Combina formación, producción y gestión urbana, creando una infraestructura autosuficiente que minimiza huella de carbono y maximiza eficiencia y resiliencia climática.","Lo innovador de Fábrica de Vida es su capacidad de integrar múltiples estrategias pasivas y sostenibles en un diseño cuidadosamente planificado, logrando una infraestructura autosuficiente que combina eficiencia energética, gestión del agua y confort térmico con producción, formación y espacio público.","Fábrica de Vida garantiza viabilidad mediante un diseño modular en madera que permite construcción industrializada y desmontable, uso eficiente de recursos hídricos y energéticos, integración con infraestructura existente como compostaje y depuradoras, y formación de personal especializado. Su planificación técnica y operativa asegura sostenibilidad, autosuficiencia y funcionalidad real en la gestión urbana de zonas verdes.",Sostenibilidad,Otro motivo,,Máster habilitante de Arquitectura 
441,Madrid,MADRID,Universidad Pontificia de Comillas,Universidad Pontificia de Comillas - ICAI,Señales matemáticas,"Programación didáctica, organizada en 15 unidades, para el alumnado de 2º de Educación Primaria. Cada tema se inicia con una situación de aprendizaje, vinculada a la Educación Vial. Con ello se consigue trabajar los elementos curriculares de la LOMLOE. Las metodologías que utiliza son: Aprendizaje cooperativo, Aprendizaje Basado en Retos (ABR) y el Método CEMA. Su objetivo es garantizar la atención a la diversidad del alumnado, tal y como expone el Diseño Universal del Aprendizaje.","Educación,Infancia,Jóvenes",Castellano,Educación,"""Señales Matemáticas"" impacta en el ámbito educativo al integrar la Educación Vial con las Matemáticas, promoviendo la movilidad sostenible y valores ciudadanos. A través de metodologías activas como el Aprendizaje Basado en Retos y el Aprendizaje Cooperativo, fomenta la inclusión, el pensamiento crítico y la resolución de problemas reales. Su enfoque interdisciplinario refuerza la conexión con otras áreas, garantizando un aprendizaje significativo y un impacto positivo en la sociedad.","Este TFG demuestra un compromiso con la sostenibilidad al integrar la Educación Vial y las Matemáticas en un aprendizaje vivencial y significativo. Con situaciones de aprendizaje reales: el alumnado conecta con su entorno, desarrolla competencias, promueve la autonomía en el aprendizaje, fortalece la relación familia-escuela y fomenta valores ciudadanos esenciales para una sociedad sostenible. Su impacto busca trascender el aula e impulsar mejoras en la enseñanza y el desarrollo educativo.","Este TFG es innovador y creativo al vincular las Matemáticas con la Educación Vial en Madrid, utilizando este entorno como hilo conductor del aprendizaje. A través de desafíos reales, fomenta un enfoque STEAM, sostenible y significativo. Su metodología dinámica y participativa facilita la labor docente y promueve la inclusión mediante el DUA, asegurando que todos los alumnos de 2º de Primaria, sin importar sus ritmos de aprendizaje, accedan a una educación de calidad.","El TFG ""Señales Matemáticas"" fomenta la sostenibilidad al equilibrar el uso de recursos con el desarrollo humano, impactando el ámbito social y empresarial. A través del Aprendizaje Cooperativo y Basado en Retos, impulsa habilidades clave como el trabajo en equipo, el pensamiento crítico y la responsabilidad. Además, promueve la creatividad, la digitalización y la conciencia sostenible, preparando al alumnado para afrontar desafíos futuros y contribuir a un mundo más innovador y sostenible.","Innovación social,Sostenibilidad,Arte y cultura",,33,Doble grado en Educación Primaria e Infantil con Mención en Inglés y PT 
489,Madrid,"MADRID,VALENCIA,VALENCIA",Universidad Europea Madrid,Universidad Europea de Madrid,Promoviendo la sostenibilidad desde la infancia: Propuesta de innovación educativa para la exploración ambiental en Educación Infantil.,"Este proyecto de innovación educativa en Educación Infantil integra metodologías activas con un enfoque de sostenibilidad. Su objetivo es fomentar la conciencia ambiental desde edades tempranas, mediante actividades como huertos urbanos y reciclaje. El trabajo demuestra que estas prácticas no solo desarrollan habilidades sociales y artísticas, sino que también cultivan un sentido de responsabilidad hacia el medio ambiente, formando futuros ciudadanos comprometidos con la sostenibilidad.","Educación,Sostenibilidad",Castellano,Educación,"Este proyecto tiene un alto impacto al integrar la sostenibilidad en la educación infantil mediante actividades como huertos urbanos y reciclaje. Su alcance se extiende al desarrollo integral de los niños, promoviendo la conciencia ambiental y fomentando un compromiso con prácticas sostenibles. Se espera que esta iniciativa inspire un modelo educativo replicable que forme ciudadanos responsables y comprometidos con el medio ambiente desde una edad temprana.","El proyecto demuestra un compromiso genuino con la sostenibilidad en todas sus fases, desde la planificación de actividades prácticas como huertos urbanos hasta el uso de materiales reciclados en el arte. A través de metodologías activas, los niños se sumergen en experiencias que promueven la conservación de recursos naturales, la equidad social y la responsabilidad económica, alineándose con los Objetivos de Desarrollo Sostenible de la ONU y la Agenda 2030.","Este proyecto es innovador al combinar metodologías activas con un enfoque de sostenibilidad integral. Introduce prácticas educativas que no solo sensibilizan sobre el medio ambiente, sino que también promueven el aprendizaje activo a través de la creación de huertos urbanos, el uso de materiales reciclados y la construcción de proyectos comunitarios, lo cual es una forma novedosa de integrar la sostenibilidad en el currículo de Educación Infantil.","La propuesta es viable y pertinente tanto a nivel social como educativo. Está diseñada para ser implementada en instituciones educativas con recursos variados, como centros bilingües o colegios con programas de concienciación ambiental. Su enfoque práctico y multidisciplinario permite la adaptación a diferentes contextos, mientras que la implicación de las familias y la colaboración con expertos en sostenibilidad refuerzan su aplicabilidad práctica y su impacto a largo plazo.","Nuevas tecnologías,Innovación social,Sostenibilidad",Otro motivo,38,Máster en Metodologías Activas 
566,,"PAÍS VASCO,BIZKAIA",Universidad del País Vasco,Universidad del País Vasco - UPV EHU,En Transición: Hacia Relaciones Ecosociales,"Esta situación de aprendizaje, diseñada bajo el marco LOMLOE, integra la crisis ecosocial en el currículo educativo actual. Al abordar temas como los límites planetarios, las transiciones energéticas y las desigualdades desde un enfoque interdisciplinar, desarrolla competencias clave en estudiantes. Su metodología activa (debates, performances) transforma el aula en un espacio de acción-reflexión, formando ciudadanos críticos capaces de impulsar cambios hacia modelos más justos y sostenibles.","Reciclaje,Reutilización,Rural,Salud,Sostenibilidad,Movilidad sostenible,Jóvenes,Inserción,Infancia,Igualdad,Estrategia,Energías renovables,Educación,Desarrollo personal,Cooperación Internacional,Consumo,Comunidad,Comunicación,Colectivos vulnerables,Colectivo LGTBIQ,Arte,Audiovisuales,Animales,Agronomía",Euskera,Educación,"El proyecto tiene un impacto significativo al integrar la crisis ecosocial en la educación formal. Al abordar temas como los límites planetarios, las transiciones energéticas y las desigualdades sociales desde una perspectiva interdisciplinar, empodera a los estudiantes como agentes de cambio. Su enfoque práctico (debates, performances) asegura que los conocimientos se traduzcan en acciones concretas, promoviendo prácticas sostenibles tanto a nivel individual como comunitario","Alineada con los principios de la LOMLOE, esta propuesta demuestra un compromiso holístico con la sostenibilidad. Analiza críticamente los modelos de producción y consumo, promueve la justicia social y ambiental, e incorpora saberes diversos. Su diseño garantiza que la sostenibilidad no sea un tema aislado, sino un eje transversal que conecta todas las actividades, desde el análisis teórico hasta las acciones artístico-políticas propuestas por los estudiantes.","Su innovación radica en tres ejes: la integración de disciplinas (ciencias, humanidades y arte), el uso de metodologías disruptivas como el ""Parlamento de las Cosas"", y la combinación de crítica teórica con creación artística. Al romper con los enfoques tradicionales, ofrece un modelo educativo único que no solo informa, sino que transforma las mentalidades y prácticas en torno a la crisis ecosocial. ","El proyecto es altamente viable por su flexibilidad y adaptabilidad. Puede implementarse con recursos mínimos (materiales cotidianos, tecnología básica) y en diversos contextos educativos. Su enfoque en problemáticas locales (ej.: conflictos por energías renovables) facilita la transferencia de aprendizajes al ámbito social y empresarial. Además, su estructura modular permite ajustarlo a diferentes tiempos y recursos, garantizando su aplicabilidad práctica.","Sostenibilidad,Arte y cultura,Innovación social",,38,Máster en Formación de Profesorado: Humanidades y Ciencias Sociales
864,,MADRID,Universidad Complutense de Madrid,Universidad Complutense de Madrid - UCM,La situación laboral de los licenciados chinos en España: un análisis de la reinserción social,"Este estudio analiza las dificultades de readaptación de graduados chinos tras completar estudios superiores en España. Se encuestó a 160 retornados y se aplicaron análisis estadísticos sobre factores como edad, género, prácticas y motivación. Se halló que el choque cultural inverso y las barreras laborales dificultan la reintegración, especialmente en mujeres y mayores. Sin embargo, una voluntad activa de retorno ayuda a mitigar dichas dificultades. ","Comunicación,Desarrollo personal,Lenguas,Instalaciones",Castellano,Educación,"Este estudio aporta evidencia clave para mejorar la gestión de la movilidad académica entre China y España. Al centrarse en el retorno de graduados chinos, visibiliza retos ignorados y propone estrategias aplicables por instituciones españolas e internacionales. Promueve políticas inclusivas, cooperación intercultural y entornos laborales más diversos, fortaleciendo los lazos educativos y económicos globales.
","El proyecto asume un compromiso real con la sostenibilidad social, al abordar la readaptación desde una visión estructural y a largo plazo. Propone medidas replicables por gobiernos, universidades y empresas para mejorar la inclusión del talento global. Además, su potencial de expansión a otros colectivos y contextos culturales permite generar conocimiento útil y adaptable en escenarios de movilidad internacional futura.

","Este proyecto introduce una perspectiva innovadora al conectar el choque cultural inverso con la reintegración laboral desde un enfoque de género y diversidad. Al centrarse en graduados chinos retornados desde España, ofrece datos inéditos sobre perfiles multiculturales que interesan a empresas con proyección internacional, y propone estrategias para aprovechar mejor su capital humano en entornos globales y competitivos.","El proyecto tiene alta aplicabilidad en el contexto empresarial actual, donde la gestión de equipos diversos y globales es clave. Sus conclusiones ofrecen a las empresas españolas herramientas para atraer, retener y apoyar a profesionales formados en el extranjero, con competencias interculturales valiosas. También aporta valor a instituciones que buscan fortalecer su vínculo con el talento internacional y anticipar dinámicas del retorno migratorio.",Innovación social,,35,Comunicación Social
454,Madrid,MADRID,Universidad Francisco de Vitoria,Universidad Francisco de Vitoria,PREDICCIÓN DEL PRECIO DEL LITIO EN EL MARCO DEL PACTO VERDE  EUROPEO,"El trabajo analiza el impacto del precio del Litio en el costo de los vehículos eléctricos, dada su importancia en la fabricación de baterías. El objetivo es predecir la evolución de su precio y extrapolar su efecto en el precio final de estos vehículos. La conclusión principal es que se espera una reducción del 22,52 % en el precio del Litio, lo que podría hacer los vehículos eléctricos más accesibles. Sin embargo, otros factores y la incertidumbre del mercado pueden influir en esta tendencia.","Data Science,Desarrollo Software,Estadística,Estrategia,Movilidad sostenible,Nuevas tecnologías,Sostenibilidad",Castellano,Tecnología,"El proyecto promociona un análisis basado en datos sobre la evolución del precio del Litio y su efecto en la asequibilidad de los vehículos eléctricos. Su alcance abarca desde la industria automotriz, impulsando estrategias de producción más eficientes, hasta el ámbito social, fomentando la adopción de tecnologías limpias. Al democratizar la información y considerar tendencias futuras, facilita la toma de decisiones sostenibles y apoya la transición hacia una economía baja en carbono.","Demuestra un compromiso con la sostenibilidad al analizar el impacto del precio del Litio en los vehículos eléctricos, promoviendo su adopción como alternativa limpia. Usa análisis de datos para evaluar su viabilidad económica y democratiza la información para facilitar decisiones informadas. Resalta la importancia de un análisis continuo y otros factores como avances tecnológicos y políticas, contribuyendo a la transición hacia una movilidad más sostenible y la neutralidad climática en 2050.","El proyecto es original e innovador porque vincula la predicción del precio del Litio con el costo de los vehículos eléctricos, proporcionando una visión prospectiva de su accesibilidad. A diferencia de otros estudios, no solo analiza el impacto actual, sino que extrapola tendencias futuras, considerando factores económicos y tecnológicos. Además, democratiza la información, permitiendo que distintos actores tomen decisiones informadas para impulsar la movilidad sostenible.","El proyecto es relevante y aplicable tanto en el ámbito empresarial como social. Para las empresas, ofrece información clave sobre la evolución del precio del Litio, permitiéndoles anticipar costos, optimizar estrategias de producción y tomar decisiones de inversión en movilidad eléctrica. En el ámbito social, democratiza el acceso a datos sobre la asequibilidad de los vehículos eléctricos, fomentando su adopción y contribuyendo a la transición hacia una movilidad más sostenible y accesible.","Sostenibilidad,Nuevas tecnologías",,35,Master en Ingeniería Industrial
841,,MADRID,Universidad Politécnica de Madrid,Universidad Politécnica de Madrid - UPM,Diseño e implementación de una red neuronal para el manejo de una silla de ruedas,"El proyecto desarrolla un modelo de redes neuronales para controlar una silla de ruedas, mejorando la autonomía de personas con movilidad reducida. Utiliza una Raspberry Pi que recibe señales de dos acelerómetros, las procesa con el modelo entrenado y las convierte en comandos de dirección y velocidad. El sistema es personalizable, adaptándose a los movimientos del usuario, y ofrece una solución de bajo costo, mejorando la usabilidad y accesibilidad para personas con dificultades motoras.","Desarrollo Software,IoT,Nuevas tecnologías,Diseño y simulación,Colectivos vulnerables",Castellano,Tecnología,"Este proyecto mejora la autonomía y calidad de vida de personas con movilidad reducida mediante una silla de ruedas controlada por una red neuronal, adaptada a sus movimientos específicos. Su implementación con componentes de bajo costo y diseño modular lo hace accesible y sostenible. Además, reduce la carga de trabajo de cuidadores y fomenta la inclusión social, facilitando la integración en entornos educativos y laborales.","El proyecto se centra en la sostenibilidad mediante el uso de componentes de bajo costo y fácil acceso, como la Raspberry Pi y acelerómetros, reduciendo el impacto ambiental. Su diseño modular permite reparar y actualizar partes sin reemplazar todo el sistema, disminuyendo el desperdicio electrónico. Además, su eficiencia energética optimiza el consumo de batería, favoreciendo una mayor duración y reduciendo la huella de carbono del dispositivo.","Este proyecto es innovador por utilizar una red neuronal para controlar una silla de ruedas, adaptándose a los movimientos específicos de cada usuario. A diferencia de los controles tradicionales, este sistema aprende y se personaliza, mejorando la precisión y accesibilidad. Además, su implementación en una Raspberry Pi permite una solución económica y portátil, haciéndola accesible a personas con movilidad reducida sin necesidad de costosos equipos especializados.","""El proyecto es viable gracias al uso de componentes accesibles como la Raspberry Pi y acelerómetros de bajo costo, reduciendo los gastos de hardware. Su diseño modular facilita el mantenimiento y permite escalabilidad. Además, se apoya en técnicas de aprendizaje automático bien documentadas y probadas. El modelo es adaptable a diferentes usuarios, y su implementación ha sido validada en pruebas controladas, demostrando su funcionalidad y eficacia.",Nuevas tecnologías,Otro motivo,38,Ingeniería de Computadores
