ID Titulación,Título,Universidad STRAPI,Abreviatura UNI,Coste medio matrícula,TIPO OUT-UNI,CCAA - PROVINCIAS
MU-Grado en Ingeniería de la Energía,Grado en Ingeniería de la Energía,Mondragón Unibertsitatea - MU,MU,€8.220,Privada,PAÍS VASCO
MU-Máster Universitario en Energía y Electrónica de Potencia,Máster Universitario en Energía y Electrónica de Potencia,Mondragón Unibertsitatea - MU,MU,€10.920,Privada,PAÍS VASCO
MU-Máster Universitario en Sistemas Inteligentes de Energía,Máster Universitario en Sistemas Inteligentes de Energía,Mondragón Unibertsitatea - MU,MU,€10.920,Privada,PAÍS VASCO
UDIMA-Máster Universitario en Energías Renovables y Eficiencia Energética por la Universidad a Distancia de Madrid,Máster Universitario en Energías Renovables y Eficiencia Energética por la Universidad a Distancia de Madrid,Universidad a Distancia de Madrid - UDIMA,UDIMA,No encontrado,Privada,MADRID
UAX-Grado en Ingeniería de la Energía por la Universidad Alfonso X El Sabio,Grado en Ingeniería de la Energía por la Universidad Alfonso X El Sabio,Universidad Alfonso X El Sabio - UAX,UAX,No encontrado,Privada,MADRID
UAX-Grado en Ingeniería de Tecnología de Minas y Energía por la Universidad Alfonso X El Sabio,Grado en Ingeniería de Tecnología de Minas y Energía por la Universidad Alfonso X El Sabio,Universidad Alfonso X El Sabio - UAX,UAX,No encontrado,Privada,MADRID
UAX-Máster Universitario en Energías Renovables por la Universidad Alfonso X El Sabio,Máster Universitario en Energías Renovables por la Universidad Alfonso X El Sabio,Universidad Alfonso X El Sabio - UAX,UAX,No encontrado,Privada,MADRID
UAB-Grado en Ingeniería en Energías Renovables y Eficiencia Energética por la Universidad Autónoma de Barcelona,Grado en Ingeniería en Energías Renovables y Eficiencia Energética por la Universidad Autónoma de Barcelona,Universidad Autónoma de Barcelona - UAB,UAB,No encontrado,Pública,CATALUÑA
"UAB-Máster Universitario en Física de Altas Energías, Astrofísica y Cosmología / High Energy Physics, Astrophysics and Cosmology por la Universidad Autónoma de Barcelona","Máster Universitario en Física de Altas Energías, Astrofísica y Cosmología / High Energy Physics, Astrophysics and Cosmology por la Universidad Autónoma de Barcelona",Universidad Autónoma de Barcelona - UAB,UAB,No encontrado,Pública,CATALUÑA
UAM-Máster Universitario en Energías y Combustibles para el Futuro por la Universidad Autónoma de Madrid,Máster Universitario en Energías y Combustibles para el Futuro por la Universidad Autónoma de Madrid,Universidad Autónoma de Madrid - UAM,UAM,No encontrado,Pública,MADRID
UCJC-Máster Universitario en Eficiencia Energética y Arquitectura Bioclimática por la Universidad Camilo José Cela,Máster Universitario en Eficiencia Energética y Arquitectura Bioclimática por la Universidad Camilo José Cela,Universidad Camilo José Cela - UCJC,UCJC,No encontrado,Privada,MADRID
UCH-Grado en Ingeniería de la Energía por la Universidad Cardenal Herrera-CEU,Grado en Ingeniería de la Energía por la Universidad Cardenal Herrera-CEU,Universidad Cardenal Herrera - UCH,UCH,No encontrado,Privada,VALENCIA
UCH-Máster Universitario en Gestión de Instalaciones Energéticas e Internacionalización de Proyectos por la Universidad Cardenal Herrera-CEU,Máster Universitario en Gestión de Instalaciones Energéticas e Internacionalización de Proyectos por la Universidad Cardenal Herrera-CEU,Universidad Cardenal Herrera - UCH,UCH,No encontrado,Privada,VALENCIA
UCH-Máster Universitario en Gestión de Proyectos e Instalaciones Energéticas por la Universidad Cardenal Herrera-CEU,Máster Universitario en Gestión de Proyectos e Instalaciones Energéticas por la Universidad Cardenal Herrera-CEU,Universidad Cardenal Herrera - UCH,UCH,No encontrado,Privada,VALENCIA
UC3M-Grado en Energy Engineering/Ingeniería de la Energía por la Universidad Carlos III de Madrid,Grado en Energy Engineering/Ingeniería de la Energía por la Universidad Carlos III de Madrid,Universidad Carlos III de Madrid - UC3M,UC3M,No encontrado,Pública,MADRID
UC3M-Máster Universitario en Energías Renovables en Sistemas Eléctricos por la Universidad Carlos III de Madrid,Máster Universitario en Energías Renovables en Sistemas Eléctricos por la Universidad Carlos III de Madrid,Universidad Carlos III de Madrid - UC3M,UC3M,No encontrado,Pública,MADRID
UCM-Máster Universitario en Energía por la Universidad Complutense de Madrid,Máster Universitario en Energía por la Universidad Complutense de Madrid,Universidad Complutense de Madrid - UCM,UCM,No encontrado,Pública,MADRID
UDC-Máster Universitario en Eficiencia Energética y Sostenibilidad por la Universidad de A Coruña,Máster Universitario en Eficiencia Energética y Sostenibilidad por la Universidad de A Coruña,Universidad de A Coruña - UDC,UDC,No encontrado,Pública,GALICIA
UDC-Máster Universitario en Eficiencia y Aprovechamiento Energético por la Universidad de A Coruña,Máster Universitario en Eficiencia y Aprovechamiento Energético por la Universidad de A Coruña,Universidad de A Coruña - UDC,UDC,No encontrado,Pública,GALICIA
"UAH-Máster Universitario en Clima, Energía y Riesgo Ambiental por la Universidad de Alcalá","Máster Universitario en Clima, Energía y Riesgo Ambiental por la Universidad de Alcalá",Universidad de Alcalá - UAH,UAH,No encontrado,Pública,MADRID
UAH-Máster Universitario en Química para la Sostenibilidad y Energía por la Universidad de Alcalá,Máster Universitario en Química para la Sostenibilidad y Energía por la Universidad de Alcalá,Universidad de Alcalá - UAH,UAH,€2.736,Pública,MADRID
UAHUNIRURJC-Máster Universitario en Inteligencia Artificial para el Sector de la Energía y las Infraestructuras por la Universidad de Alcalá; la Universidad Internacional de La Rioja y la Universidad Rey Juan Carlos,Máster Universitario en Inteligencia Artificial para el Sector de la Energía y las Infraestructuras por la Universidad de Alcalá; la Universidad Internacional de La Rioja y la Universidad Rey Juan Carlos,"Universidad de Alcalá - UAH,Universidad Internacional de La Rioja - UNIR,Universidad Rey Juan Carlos - URJC","UAH, UNIR, URJC",No encontrado,Mixta,"MADRID,LA RIOJA"
UNICAN-Grado en Ingeniería de los Recursos Energéticos por la Universidad de Cantabria,Grado en Ingeniería de los Recursos Energéticos por la Universidad de Cantabria,Universidad de Cantabria - UNICAN,UNICAN,No encontrado,Pública,CANTABRIA
UCLM-Grado en Ingeniería de los Recursos Energéticos,Grado en Ingeniería de los Recursos Energéticos,Universidad de Castilla-La Mancha - UCLM,UCLM,No encontrado,Pública,CASTILLA-LA MANCHA
UCLM-Grado en Ingeniería Minera y Energética por la Universidad de Castilla-La Mancha,Grado en Ingeniería Minera y Energética por la Universidad de Castilla-La Mancha,Universidad de Castilla-La Mancha - UCLM,UCLM,No encontrado,Pública,CASTILLA-LA MANCHA
UCO-Grado en Ingeniería de la Energía y Recursos Minerales por la Universidad de Córdoba,Grado en Ingeniería de la Energía y Recursos Minerales por la Universidad de Córdoba,Universidad de Córdoba - UCO,UCO,No encontrado,Pública,ANDALUCÍA
UH-Grado en Ingeniería en Explotación de Minas y Recursos Energéticos por la Universidad de Huelva,Grado en Ingeniería en Explotación de Minas y Recursos Energéticos por la Universidad de Huelva,Universidad de Huelva - UH,UH,No encontrado,Pública,ANDALUCÍA
UH-Grado en Ingeniería Energética por la Universidad de Huelva,Grado en Ingeniería Energética por la Universidad de Huelva,Universidad de Huelva - UH,UH,No encontrado,Pública,ANDALUCÍA
UJA-Grado en Ingeniería de Recursos Energéticos por la Universidad de Jaén,Grado en Ingeniería de Recursos Energéticos por la Universidad de Jaén,Universidad de Jaén - UJA,UJA,No encontrado,Pública,ANDALUCÍA
UNILEON-Grado en Ingeniería de la Energía por la Universidad de León,Grado en Ingeniería de la Energía por la Universidad de León,Universidad de León - UNILEON,UNILEON,No encontrado,Pública,CASTILLA Y LEÓN
UDL-Grado en Ingeniería de la Energía y Sostenibilidad por la Universidad de Lleida,Grado en Ingeniería de la Energía y Sostenibilidad por la Universidad de Lleida,Universidad de Lleida - UDL,UDL,No encontrado,Pública,CATALUÑA
USUMA-Grado en Ingeniería de la Energía por la Universidad de Málaga y la Universidad de Sevilla,Grado en Ingeniería de la Energía por la Universidad de Málaga y la Universidad de Sevilla,"Universidad de Sevilla - US,Universidad de Málaga - UMA","US, UMA",No encontrado,Pública,ANDALUCÍA
UMAUS-Grado en Ingeniería de la Energía por la Universidad de Málaga y la Universidad de Sevilla,Grado en Ingeniería de la Energía por la Universidad de Málaga y la Universidad de Sevilla,"Universidad de Málaga - UMA,Universidad de Sevilla - US","UMA, US",No encontrado,Pública,ANDALUCÍA
UNAV-Grado en Ingeniería de la Energía por la Universidad de Navarra,Grado en Ingeniería de la Energía por la Universidad de Navarra,Universidad de Navarra - UNAV,UNAV,No encontrado,Privada,NAVARRA
UNIOVI-Grado en Ingeniería de Recursos Mineros y Energéticos por la Universidad de Oviedo,Grado en Ingeniería de Recursos Mineros y Energéticos por la Universidad de Oviedo,Universidad de Oviedo - UNIOVI,UNIOVI,No encontrado,Pública,ASTURIAS
USAL-Grado en Ingeniería de la Energía y Recursos Minerales por la Universidad de Salamanca,Grado en Ingeniería de la Energía y Recursos Minerales por la Universidad de Salamanca,Universidad de Salamanca - USAL,USAL,No encontrado,Pública,CASTILLA Y LEÓN
UVA-Grado en Ingeniería Agraria y Energética por la Universidad de Valladolid,Grado en Ingeniería Agraria y Energética por la Universidad de Valladolid,Universidad de Valladolid - UVA,UVA,No encontrado,Pública,CASTILLA Y LEÓN
UVA-Grado en Ingeniería Energética por la Universidad de Valladolid,Grado en Ingeniería Energética por la Universidad de Valladolid,Universidad de Valladolid - UVA,UVA,No encontrado,Pública,CASTILLA Y LEÓN
UVIGO-Grado en Ingeniería de la Energía por la Universidad de Vigo,Grado en Ingeniería de la Energía por la Universidad de Vigo,Universidad de Vigo - UVIGO,UVIGO,"€835,80",Pública,GALICIA
UVIGO-Grado en Ingeniería de los Recursos Mineros y Energéticos por la Universidad de Vigo,Grado en Ingeniería de los Recursos Mineros y Energéticos por la Universidad de Vigo,Universidad de Vigo - UVIGO,UVIGO,No encontrado,Pública,GALICIA
UPV EHU-Grado en Ingeniería de Energías Renovables por la Universidad del País Vasco/Euskal Herriko Unibertsitatea,Grado en Ingeniería de Energías Renovables por la Universidad del País Vasco/Euskal Herriko Unibertsitatea,Universidad del País Vasco - UPV EHU,UPV EHU,No encontrado,Pública,PAÍS VASCO
UPV EHU-Grado en Ingeniería de Tecnología de Minas y Energía por la Universidad del País Vasco/Euskal Herriko Unibertsitatea,Grado en Ingeniería de Tecnología de Minas y Energía por la Universidad del País Vasco/Euskal Herriko Unibertsitatea,Universidad del País Vasco - UPV EHU,UPV EHU,No encontrado,Pública,PAÍS VASCO
UEM-Grado en Ingeniería de la Energía,Grado en Ingeniería de la Energía,Universidad Europea de Madrid - UEM,UEM,No encontrado,Privada,MADRID
ULOYOLA-Grado en Ingeniería de la Energía por la Universidad Loyola Andalucía,Grado en Ingeniería de la Energía por la Universidad Loyola Andalucía,Universidad Loyola Andalucía - ULOYOLA,ULOYOLA,No encontrado,Privada,ANDALUCÍA
UNED-Grado en Ingeniería de la Energía por la Universidad Nacional de Educación a Distancia,Grado en Ingeniería de la Energía por la Universidad Nacional de Educación a Distancia,Universidad Nacional de Educación a Distancia - UNED,UNED,No encontrado,Pública,ESPAÑA
NEBRIJA-Máster Universitario en Energía y Cambio Climático / Energy and Climate Change por la Universidad Antonio de Nebrija,Máster Universitario en Energía y Cambio Climático / Energy and Climate Change por la Universidad Antonio de Nebrija,Universidad Nebrija - NEBRIJA,NEBRIJA,No encontrado,Privada,MADRID
UPCT-Grado en Ingeniería de Recursos Minerales y Energía por la Universidad Politécnica de Cartagena,Grado en Ingeniería de Recursos Minerales y Energía por la Universidad Politécnica de Cartagena,Universidad Politécnica de Cartagena - UPCT,UPCT,No encontrado,Pública,MURCIA
UPC-Grado en Ingeniería de la Energía por la Universidad Politécnica de Catalunya,Grado en Ingeniería de la Energía por la Universidad Politécnica de Catalunya,Universidad Politécnica de Catalunya - UPC,UPC,No encontrado,Pública,CATALUÑA
